2.900000000000000000e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.900000000000000000e+03 1.000000000000000000e+00 4.444641984088181484e-05 9.999555535801590844e-01
2.900000000000000000e+03 1.000000000000000000e+00 8.889283968176362968e-05 9.999111071603182799e-01
2.900000000000000000e+03 1.000000000000000000e+00 1.333392595226454581e-04 9.998666607404773643e-01
2.900000000000000000e+03 1.000000000000000000e+00 1.777856793635272594e-04 9.998222143206364487e-01
2.900000000000000000e+03 1.000000000000000000e+00 2.222320992044090606e-04 9.997777679007956442e-01
2.900000000000000000e+03 1.000000000000000000e+00 2.666785190452909161e-04 9.997333214809547286e-01
2.900000000000000000e+03 1.000000000000000000e+00 3.111249388861727174e-04 9.996888750611138130e-01
2.900000000000000000e+03 1.000000000000000000e+00 3.555713587270545187e-04 9.996444286412728975e-01
2.900000000000000000e+03 1.000000000000000000e+00 4.000177785679363200e-04 9.995999822214320929e-01
2.900000000000000000e+03 1.000000000000000000e+00 4.444641984088181213e-04 9.995555358015911773e-01
2.900000000000000000e+03 1.000000000000000000e+00 4.889106182496999768e-04 9.995110893817502618e-01
2.900000000000000000e+03 1.000000000000000000e+00 5.333570380905818323e-04 9.994666429619094572e-01
2.900000000000000000e+03 1.000000000000000000e+00 5.778034579314635794e-04 9.994221965420685416e-01
2.900000000000000000e+03 1.000000000000000000e+00 6.222498777723454349e-04 9.993777501222276261e-01
2.900000000000000000e+03 1.000000000000000000e+00 6.666962976132271819e-04 9.993333037023868215e-01
2.900000000000000000e+03 1.000000000000000000e+00 7.111427174541090374e-04 9.992888572825459059e-01
2.900000000000000000e+03 1.000000000000000000e+00 7.555891372949908929e-04 9.992444108627049904e-01
2.900000000000000000e+03 1.000000000000000000e+00 8.000355571358726400e-04 9.991999644428640748e-01
2.900000000000000000e+03 1.000000000000000000e+00 8.444819769767544955e-04 9.991555180230232702e-01
2.900000000000000000e+03 1.000000000000000000e+00 8.889283968176362426e-04 9.991110716031823547e-01
2.900000000000000000e+03 1.000000000000000000e+00 9.333748166585180981e-04 9.990666251833414391e-01
2.900000000000000000e+03 1.000000000000000000e+00 9.778212364993999536e-04 9.990221787635006345e-01
2.900000000000000000e+03 1.000000000000000000e+00 1.022267656340281701e-03 9.989777323436597189e-01
2.900000000000000000e+03 1.000000000000000000e+00 1.066714076181163665e-03 9.989332859238188034e-01
2.900000000000000000e+03 1.000000000000000000e+00 1.111160496022045412e-03 9.988888395039779988e-01
2.900000000000000000e+03 1.000000000000000000e+00 1.155606915862927159e-03 9.988443930841370832e-01
2.900000000000000000e+03 1.000000000000000000e+00 1.200053335703808906e-03 9.987999466642961677e-01
2.900000000000000000e+03 1.000000000000000000e+00 1.244499755544690870e-03 9.987555002444553631e-01
2.900000000000000000e+03 1.000000000000000000e+00 1.288946175385572617e-03 9.987110538246144475e-01
2.900000000000000000e+03 1.000000000000000000e+00 1.333392595226454364e-03 9.986666074047735320e-01
